,AS51 Index,,BHP AT Equity,,,,,CSL AT Equity,,,,,RIO AT Equity,,,,,CBA AT Equity,,,,,WOW AT Equity,,,,,WES AT Equity,,,,,TLS AT Equity,,,,,AMC AT Equity,,,,,BXB AT Equity,,,,,FPH AT Equity,,,,
7/1/16,-2.2017,5010.34,-4.7813,16.33,16.4955,13342782,81976.9056,-0.9249,102.84,103.4438,906092,47607.2654,-4.7953,40.7,41.1753,3335121,68178.6264,-2.0704,80.41,80.815,3320993,137303.6675,-2.8669,22.7,22.847,3170704,28850.2729,-2.1063,28.7363,28.9506,2632945,45011.4602,-1.4815,5.32,5.3635,20259788,65040.4913,0.695,13.04,13.0039,3333769,15102.1617,-2.4021,10.97,11.0146,4300274,17320.3418,0.7509,8.05,8.0456,216747,4536.4782
8/1/16,-0.3892,4990.839,0.1225,16.35,16.2581,12562037,81089.3292,0.2723,103.12,102.7647,932931,47736.8845,2.9484,41.9,41.5309,2769305,67380.7594,-1.2312,79.42,79.1712,3791303,135613.1983,0.7489,22.87,22.8326,3386924,29066.3322,-0.8006,28.5062,28.5695,1905177,44651.0983,-0.3759,5.3,5.2916,37119195,64795.9781,-0.1534,13.02,12.9985,3482400,15078.9989,-0.2735,10.94,10.9578,2856940,17272.9753,-2.236,7.87,7.9088,181820,4435.0414
11/1/16,-1.1742,4932.237,-4.893,15.55,15.6042,15213826,77951.4959,-0.2133,102.9,102.1603,775704,47623.2869,-3.3413,40.5,40.2599,2526092,65819.255,-0.9821,78.64,78.3129,2588229,134281.3135,0,22.87,22.7252,2886870,29066.3322,0.2522,28.5781,28.2574,1930396,44763.7114,0.1887,5.31,5.2671,27236332,64918.2347,-1.9201,12.77,12.7041,2975177,14789.4636,-1.0055,10.83,10.7557,2826244,17099.322,-1.5248,7.75,7.7479,195071,4367.4169
12/1/16,-0.1441,4925.132,-3.4727,15.01,15.2408,14763797,75167.236,1.6327,104.58,103.971,1172199,48400.81,-3.3333,39.15,39.4934,2322049,63524.2829,0.9537,79.39,79.6137,2927025,135561.972,0.1312,22.9,22.8852,2986931,29104.4604,-0.7296,28.3696,28.5039,1990793,44437.1333,1.1299,5.37,5.3768,19591226,65651.7741,-0.0783,12.76,12.7691,4380738,14777.8822,0.3693,10.87,10.8594,3648508,17162.4774,1.1613,7.84,7.84,94875,4418.1352
13/1/16,1.2651,4987.44,-1.5989,14.77,14.75,18806155,74503.4219,-0.0382,104.54,104.3877,883917,48382.2975,1.0217,39.55,39.3042,3689865,64646.6091,2.028,81,80.6821,3143955,138311.1189,1.5284,23.25,23.0871,3615932,29549.2884,1.2418,28.7219,28.6468,1937018,44988.9376,1.1173,5.43,5.4091,16780158,66385.3134,1.2539,12.92,12.8493,2336476,14963.1848,2.1159,11.1,11.0671,3461759,17525.6209,-0.1276,7.83,7.8292,117925,4412.4999
14/1/16,-1.5651,4909.383,0.7448,14.88,14.7727,14582582,76429.8678,-1.6644,102.8,102.4872,715863,47577.0058,-1.7699,38.85,38.9331,2440184,65709.8422,-1.9506,79.42,79.3736,2147488,135613.1983,-1.3763,22.93,22.863,3179707,29142.5885,-1.3767,28.3265,28.2183,2024870,44369.5655,-1.105,5.37,5.3438,18050314,65651.7741,-1.7802,12.69,12.6899,1979983,14696.8123,-3.1532,10.75,10.75,3594565,16973.0112,1.788,7.97,7.9015,170133,4491.3951
15/1/16,-0.3359,4892.801,1.2769,15.07,15.3135,12651137,75474.1758,0.4669,103.28,103.4582,694847,47799.1552,1.6988,39.51,39.8828,2045917,63854.4022,-0.6799,78.88,79.4446,2701597,134691.1242,-1.1775,22.66,22.7429,2309186,28799.4355,-0.203,28.269,28.3172,2077464,44279.475,-0.7449,5.33,5.3618,26544729,65162.7478,-0.788,12.59,12.6657,2758029,14580.9982,-0.9302,10.65,10.6994,3262665,16815.1228,-1.3802,7.86,7.8835,112456,4429.406
18/1/16,-0.6969,4858.702,-2.9197,14.63,14.6307,10779053,73709.1891,-0.5713,102.69,102.5018,572231,47526.0965,-2.0754,38.69,38.5758,2328418,63053.642,-0.6212,78.39,78.1996,2460969,133854.4273,4.3689,23.65,23.7818,6536831,30057.6632,2.0346,28.8441,28.8867,4172646,45180.3799,0.9381,5.38,5.3419,18206068,65774.0306,0.9531,12.71,12.6901,2177145,14719.9751,-0.1878,10.63,10.5823,3174374,16783.5451,-0.6361,7.81,7.7945,155889,4401.2858
19/1/16,0.9131,4903.069,0.6835,14.73,14.7182,8899006,74404.5106,0.9738,103.69,103.303,631946,47988.9079,0.336,38.82,38.7392,2205957,63070.7621,1.0205,79.19,78.8771,2300055,135220.463,-1.2685,23.35,23.1746,4250912,29676.3821,-1.0469,28.5422,28.4638,2783807,44707.4048,-0.3717,5.36,5.364,20358588,65529.5175,2.7537,13.06,12.994,2113635,15125.3245,1.1289,10.75,10.701,2590421,16973.0112,0,7.81,7.7982,123772,4401.2858
20/1/16,-1.2552,4841.526,-3.5302,14.21,14.3549,11597193,70975.9538,1.9385,105.7,105.0787,1141741,48919.1587,-2.7563,37.75,38.1793,3362839,60801.2117,-1.9952,77.61,78.3453,3383000,132522.5424,0.985,23.58,23.5817,3267232,29968.6976,0.8816,28.7938,28.8282,2520907,45101.5507,0.3731,5.38,5.4087,27476134,65774.0306,-2.8331,12.69,12.7725,2838369,14696.8123,-0.4651,10.7,10.6933,4095508,16894.067,-1.4085,7.7,7.6849,344564,4339.2959
21/1/16,0.4643,4864.004,-0.0704,14.2,14.3396,13959804,73196.8332,1.7692,107.57,107.1407,1273268,49784.6159,1.6159,38.36,38.7962,3248141,62986.2172,-1.0308,76.81,77.8166,5261645,131156.5067,1.2723,23.88,23.884,3951811,30349.9788,2.7466,29.5847,29.5574,3699943,46340.2949,2.6022,5.52,5.4951,32481931,67485.6225,2.2065,12.97,13.0069,3985375,15021.0918,1.5888,10.87,10.8925,4149994,17162.4774,0.6494,7.75,7.7256,319984,4367.4731
22/1/16,1.068,4915.953,7.4648,15.26,15.2483,14977581,76959.5751,-0.3068,107.24,107.341,1073819,49631.8881,3.3629,39.65,39.5147,2716465,63176.6426,-0.3255,76.56,76.5495,3581094,130729.6205,0.0419,23.89,23.9253,2073427,30362.6881,1.5067,30.0304,30.0146,3133489,47038.4962,0.3623,5.54,5.5401,22138943,67730.1356,-0.1542,12.95,12.8892,3630390,14997.929,1.196,11,10.9704,3096086,17367.7324,4.3871,8.09,8.0155,189011,4559.0784
25/1/16,1.8432,5006.564,0.1311,15.28,15.2564,11537620,76635.8244,0.3264,107.59,107.5707,904080,49793.8721,-1.2358,39.16,39.1966,1645954,61727.6833,3.187,79,78.3795,2932402,134896.0295,1.6743,24.29,24.2188,2329222,30871.063,0.814,30.2749,30.3022,1913615,47421.3808,0.722,5.58,5.5669,18338054,68219.1619,2.471,13.27,13.2693,2288021,15368.5342,1,11.11,11.098,2371512,17541.4097,-0.4944,8.05,8.0635,191194,4536.5366
26/1/16,1.8432,5006.564,0.1311,15.28,15.2564,11537620,76635.8244,0.3264,107.59,107.5707,904080,49793.8721,-1.2358,39.16,39.1966,1645954,61727.6833,3.187,79,78.3795,2932402,134896.0295,1.6743,24.29,24.2188,2329222,30871.063,0.814,30.2749,30.3022,1913615,47421.3808,0.722,5.58,5.5669,18338054,68219.1619,2.471,13.27,13.2693,2288021,15368.5342,1,11.11,11.098,2371512,17541.4097,-0.4944,8.05,8.0635,191194,4536.5366
27/1/16,-1.2009,4946.441,-1.767,15.01,15.2121,16437550,76764.1151,-1.6358,105.83,106.3486,958617,48979.3241,-2.6813,38.11,38.5461,1930030,63808.1029,-1.7722,77.6,77.9639,3232392,132505.467,-0.741,24.11,24.1282,3474020,30642.2943,-0.5462,30.1095,30.1656,2893409,47162.3706,-0.8961,5.53,5.522,21306266,67607.8791,-2.5622,12.93,13.0051,4400611,14974.7662,-0.9901,11,10.9945,2870329,17367.7324,-1.9876,7.89,7.927,169298,4446.3694
28/1/16,0.6027,4976.164,0.5996,15.1,15.1507,12842343,77564.7603,1.2378,107.14,106.7526,919838,49585.607,2.1517,38.93,38.9462,2152161,63843.9663,0.2964,77.83,77.4565,3143338,132898.2023,1.5346,24.48,24.3519,3964799,31112.541,0.1671,30.1598,30.1276,3075135,47241.1998,1.085,5.59,5.5644,28126664,68341.4184,1.7788,13.16,13.0723,3115361,15241.1387,0.8182,11.09,11.0759,2663028,17509.8321,0.507,7.93,7.9107,183112,4468.9112
29/1/16,0.59,5005.524,1.6556,15.35,15.365,15611913,77983.388,-2.9307,104,104.2414,2921207,48132.3794,0.5137,39.13,39.0905,4238359,63910.4784,1.0793,78.67,78.0614,7035866,134332.5398,-0.817,24.28,24.2343,6250867,30858.3536,0.5244,30.318,30.1915,4603977,47488.9486,0.7156,5.63,5.6133,27231036,68830.4447,1.0638,13.3,13.1917,3311431,15403.2784,0.3607,11.13,11.0617,4489473,17572.9874,-0.6305,7.88,7.9039,356497,4440.7489
1/2/16,0.7605,5043.589,-0.6515,15.25,15.251,9375792,78061.7773,3.8365,107.99,107.5198,1421867,49978.9966,-0.4089,38.97,39.2731,1419060,63879.2556,-0.572,78.22,78.5335,3603114,133564.1447,0.6178,24.43,24.4643,4373031,31048.9942,1.0908,30.6487,30.6743,2886948,48006.9689,0.7105,5.67,5.6614,26854728,69319.4709,1.9549,13.56,13.5283,3585774,15704.3952,1.4376,11.29,11.2806,3640325,17825.609,0.8883,7.95,7.9506,236726,4480.1972
2/2/16,-0.9967,4993.322,-2.1639,14.92,15.0136,8230601,75162.1713,-0.463,107.49,107.4623,813923,49748.27,-3.6695,37.54,37.9955,1867588,61281.4189,-0.2557,78.02,78.1824,2339438,133222.6358,-1.1461,24.15,24.1727,2740684,30693.1318,0.4457,30.7853,30.7458,2541396,48220.9339,-1.0582,5.61,5.6051,29184377,68585.9316,-3.6136,13.07,13.1247,3886643,15136.9059,-2.6572,10.99,11.0033,4809401,17351.9436,0,7.95,7.9135,328873,4480.1972
3/2/16,-2.3344,4876.757,-4.3566,14.27,14.311,10015599,73508.1091,-1.9909,105.35,106.4492,1072925,48757.8402,-1.3586,37.03,37.0189,2062408,62903.7867,-2.9351,75.73,76.212,3758642,129312.3584,-2.3188,23.59,23.7486,3266587,29981.407,-0.2102,30.7206,30.7448,3473019,48119.5821,-1.0695,5.55,5.5566,24898176,67852.3922,-1.9128,12.82,12.8809,3737849,14847.3706,-2.3658,10.73,10.7647,2406951,16941.4335,0.6289,8,8.0133,151538,4508.4019
4/2/16,2.1244,4980.359,8.2691,15.45,15.2018,11707993,80007.8882,0.3702,105.74,106.2088,776908,48938.3391,8.9117,40.33,39.6001,3066866,68680.2611,2.1524,77.36,76.9631,3125514,132095.6563,1.4413,23.93,23.9139,3070851,30413.5256,0.4212,30.85,30.8697,2623730,48322.2857,1.4414,5.63,5.6045,25179101,68830.4447,-1.7161,12.6,12.6344,5087591,14592.5796,-1.1184,10.61,10.6044,3251306,16751.9674,0.625,8.05,8.0363,312317,4537.393
5/2/16,-0.084,4976.176,4.8544,16.2,16.0193,14958012,82641.6402,-0.3594,105.36,105.4559,1182371,48762.4684,3.1986,41.62,41.2906,2753983,68734.5187,-0.9824,76.6,76.5049,2267961,130797.9223,-0.7104,23.76,23.5411,3284544,30197.4663,0.0466,30.8644,30.561,2406706,48344.8083,0.3552,5.65,5.6251,19615300,69074.9578,-0.4762,12.54,12.5532,6090902,14523.0911,-0.377,10.57,10.5249,2739739,16688.99,0.6211,8.1,8.0765,118592,4565.5756
8/2/16,-0.0157,4975.393,1.0494,16.37,16.2367,9486183,82906.0665,-0.0854,105.27,105.3371,653842,48720.8148,2.1864,42.53,42.1798,3233369,69400.1912,-0.2872,76.38,76.1973,2222535,130422.2625,0,23.76,23.6481,3589415,30197.4663,0.7454,31.0945,30.9766,1658727,48705.1702,0.354,5.67,5.6646,14755805,69319.4709,0.2392,12.57,12.6613,4735088,14557.8353,-1.1353,10.45,10.4878,3263955,16499.5218,-1.1111,8.01,8.0317,77117,4514.847
9/2/16,-2.8671,4832.076,-1.9548,16.05,15.973,11128176,80329.3939,-2.5553,102.58,102.8205,1496066,47475.8353,-1.2462,42,42.0682,3666046,67064.3943,-4.5954,72.87,74.0445,4592593,124428.7807,-2.7778,23.1,23.2052,4715593,29358.6478,-0.9249,30.8069,30.839,3149596,48254.7178,-1.0582,5.61,5.6069,37925908,68585.9316,-3.0231,12.19,12.2213,4689483,14117.7417,-2.0096,10.24,10.2017,6302272,16167.9525,-0.9988,7.93,7.9217,722308,4469.7549
10/2/16,-1.1671,4775.68,-2.4922,15.65,15.5229,13211464,78431.7541,-1.0333,101.52,101.4625,1444677,46985.2486,-1.1667,41.51,41.3314,2606204,67107.1083,1.8252,74.2,73.9861,6540751,126699.8151,-3.2468,22.35,22.4092,6344743,28405.4449,-1.7036,30.282,30.2696,3833211,47432.6421,-3.2086,5.43,5.4531,42466778,66385.3134,-0.2461,12.16,12.1737,5255292,14082.9974,-0.8789,10.15,10.1586,5881833,16025.8514,-0.3783,7.9,7.9233,473339,4452.8829
11/2/16,1.0258,4821.077,-2.6198,15.24,15.275,9018531,76215.1832,1.9996,103.55,103.054,678667,47924.7684,-1.2527,40.99,41.0162,1711793,65114.57,0.1348,74.3,73.9564,2862170,126870.5696,1.0738,22.59,22.4804,2332266,28710.4699,1.4957,30.735,30.4748,2210449,48142.1047,1.8416,5.53,5.4909,21479670,67607.8791,0.9868,12.28,12.256,4907795,14221.9744,1.1823,10.27,10.262,2277868,16215.3195,0.8861,7.97,7.929,117534,4492.3389
12/2/16,-1.156,4765.346,-0.9843,15.09,15.194,10155412,78437.3779,-0.2414,103.3,102.6945,1030144,47809.064,-1.2686,40.47,40.6456,2962416,68910.8315,-1.3055,73.33,73.6451,4264022,125214.2512,-1.8592,22.17,22.2764,2624488,28176.6763,-0.7485,30.5049,30.5544,2484778,47781.7427,0.7233,5.57,5.556,31315223,68096.9053,-0.4072,12.23,12.1969,6374475,14164.0673,-0.6816,10.2,10.2324,2199515,16104.7964,0.3764,8,7.9177,632585,4509.2485
15/2/16,1.6392,4843.46,5.8979,15.98,15.9393,12598148,80915.2938,1.0939,104.43,103.8662,1083024,48332.048,4.3242,42.22,41.9166,2722123,69314.4759,1.3228,74.3,74.0473,5367415,126870.5696,1.4885,22.5,22.4146,4207109,28596.0855,0.872,30.7709,30.6543,3193540,48198.4112,-2.3339,5.44,5.4279,35332372,66507.57,9.5666,13.4,13.3685,6225928,15519.0926,4.7059,10.68,10.6006,4139315,16862.6692,1.25,8.1,8.0546,259988,4565.6621
16/2/16,1.7718,4910.037,3.8173,16.59,16.48,9409806,82743.5875,1.5034,106,104.9951,1444087,49058.6717,2.3212,43.2,43.0778,2531027,69574.8884,1.5189,72.6,71.8406,5455758,123967.7436,1.4667,22.83,22.6476,3166577,29015.4948,0.771,31.0082,30.9155,3640721,48570.0345,-0.3676,5.42,5.3915,32467260,66263.0569,1.3433,13.58,13.5332,3960583,15727.558,1.3109,10.82,10.7795,3119922,17083.7154,-0.1235,8.09,8.0548,195681,4560.0255
17/2/16,-0.5554,4882.1,-3.6769,15.98,16.0933,8432601,82604.0528,-3.6981,102.08,101.487,2164989,47244.4265,-2.5231,42.11,42.5555,2333042,71328.9878,-0.3719,72.33,72.658,3410164,123506.7065,-0.4818,22.72,22.8457,2698928,28875.6917,-0.2319,30.9363,31.0769,2499713,48457.4214,-0.9225,5.37,5.3947,25373300,65651.7741,2.3564,13.9,13.9622,6188459,16098.1632,-0.4621,10.77,10.7747,3887795,17004.7704,0.2472,8.11,8.0925,279722,4571.2987
18/2/16,2.3034,4991.997,6.0701,16.95,16.8803,12921556,85693.1248,-1.3813,100.67,101.2719,1418351,46591.8536,3.0634,43.4,43.3628,2651044,70435.044,2.696,74.28,73.7155,3165062,126836.4187,1.6725,23.1,22.9949,2422297,29358.6478,1.743,31.4755,31.4282,2604287,49302.0197,0.5587,5.4,5.3908,36113237,66018.5437,1.223,14.07,14.0081,4585019,16295.0472,1.9499,10.98,10.9512,2263068,17336.3397,0.9864,8.19,8.1701,227914,4616.3917
19/2/16,-0.7806,4952.796,-2.0059,16.61,16.6661,8579193,84475.5474,1.1225,101.8,101.8445,1080398,47114.8375,-1.7972,42.62,42.7652,2221456,70409.6669,-1.1443,73.43,73.5598,1768177,125385.0057,-0.6494,22.95,22.9178,1853108,29168.0072,-0.7995,31.2239,31.1802,2035060,48907.8738,-2.2222,5.28,5.3442,37630319,64551.465,-1.2082,13.9,13.9512,3126630,16098.1632,0.7286,11.06,11.0395,2393826,17462.6518,0,8.19,8.2016,166945,4616.4242
22/2/16,1.0404,5001.224,3.4317,17.18,17.0426,9112587,88010.7355,0.6876,102.5,102.525,816965,47438.8099,3.2145,43.99,43.7558,2482482,73797.8667,1.1031,74.24,74.0014,2074363,126768.1169,0.2614,23.01,22.9723,2274307,29244.2634,0.944,31.5186,31.4459,1856180,49369.5876,0,5.28,5.2605,36367804,64551.465,1.6547,14.13,14.1171,3725250,16364.5357,8.4991,12,11.9482,8184532,18946.8193,1.8315,8.34,8.2797,220983,4700.9741
23/2/16,-0.3528,4979.588,2.6193,17.63,17.5754,19850522,87289.7005,-1.0927,101.38,101.6857,1028365,46924.5782,1.4321,44.62,44.6799,3253642,72060.0496,-1.2931,73.28,73.8258,2571840,125128.874,-0.3042,22.94,22.8915,3219858,29155.2978,-0.5018,31.3605,31.3573,1800993,49121.8387,-2.0833,5.17,5.2064,39627572,63206.6428,0.0952,13.88,13.9443,4275220,16075.0003,-1.5833,11.81,11.8305,11449281,18646.828,0.1199,8.35,8.3105,138378,4706.7448
24/2/16,-2.0163,4875.019,-8.2246,16.18,16.4069,22617016,79990.2236,-0.4241,100.95,101.1154,864464,46725.5492,-0.964,42.02,42.2249,4878430,67781.6449,-2.7566,71.26,71.626,3957518,121679.6337,-2.6591,22.33,22.3365,3630160,28380.0262,-4.8602,29.8363,29.9869,4145741,46734.4408,-0.1934,5.16,5.1609,29425346,63084.3863,0,13.88,13.8621,4030837,16075.0003,-0.0847,11.8,11.8192,4991213,18631.039,-0.1198,8.34,8.3694,270865,4701.1079
25/2/16,0.1293,4881.176,-1.1125,16,15.9905,14839278,79566.5598,0.4854,101.44,101.4127,989634,46952.3497,-1.6659,41.32,41.3243,3436363,65557.6275,-0.3649,71,70.7285,5357879,121235.6721,-1.9704,21.89,21.9775,6843003,27820.8139,-2.6988,29.0311,28.9295,6292868,45473.174,0.969,5.21,5.2221,31684320,63695.6691,0.1441,13.9,13.9133,3248331,16098.1632,2.5424,12.1,12.0274,5359716,19105.3564,0.1199,8.35,8.4487,268573,4706.7448
26/2/16,0.0181,4879.958,-2.5625,15.59,15.6297,15210363,79518.0143,0.9365,102.39,102.182,1127445,47392.0652,-3.1946,40,40.1289,4291558,66768.4073,-0.3944,70.72,70.9707,4861345,120757.5596,2.0557,22.34,21.6893,11219819,28392.7356,-0.1238,28.9951,29.0204,5366545,45416.8674,1.1516,5.27,5.2487,32813821,64429.2084,0.8633,14.02,13.9791,2422728,16237.1401,1.4876,12.28,12.244,9871261,19389.5684,-2.0359,8.18,8.2311,216726,4610.9248
29/2/16,0.1992,4880.926,-0.1283,15.57,15.6871,11495523,79909.6128,0.3223,102.72,102.8853,1262842,47544.8084,0.7,40.28,40.4394,2571225,67994.4905,-0.8201,70.14,70.5318,4476962,119767.1837,2.5067,22.9,22.9638,7805760,29104.4604,0.1488,28.1036,28.2068,3115722,44020.4648,-0.3795,5.25,5.2681,40461351,64184.6953,-0.0713,14.01,14.0358,4454381,16225.5587,1.7101,12.49,12.4482,5820320,19721.2313,-0.489,8.14,8.1613,299243,4589.0199
1/3/16,1.146,4922.252,2.9544,16.03,15.9458,12728276,81937.0358,0.5646,103.3,103.1194,1025237,47813.2663,2.6564,41.35,41.344,1788936,69480.3358,1.8107,71.41,70.9925,3667485,121935.7654,-1.31,22.6,22.5476,5720769,28723.1792,-0.1023,28.0749,28.0537,3531819,43975.4196,-0.5442,5,5.0285,45379340,61128.2813,0,14.01,14.088,3784361,16225.5587,1.6013,12.69,12.6134,4533941,20037.0236,1.9656,8.3,8.2646,272141,4679.2218
2/3/16,2.1213,5021.23,4.3668,16.73,16.6486,12803666,85494.9911,1.6651,105.02,104.973,882250,48609.3826,4.7158,43.3,43.0761,2808721,71699.9714,3.5429,73.94,73.8113,3667940,126255.8535,1.4539,22.3,22.2727,4283444,28341.8981,2.612,28.8082,28.7315,3198891,45124.0733,1.8,5.09,5.0501,43419552,62228.5903,0.7852,14.12,14.1045,2873396,16352.9542,-1.182,12.54,12.6021,4143215,19800.1793,0.4819,8.34,8.3737,189506,4701.814
3/3/16,1.2064,5081.12,3.1082,17.25,17.3932,16153448,87655.7407,-0.6285,104.36,104.284,1186066,48303.8961,2.0785,44.2,44.3073,2365751,71873.6099,1.3119,74.91,74.6098,3042379,127912.1718,0.9865,22.52,22.3637,4594854,28621.5043,0.3244,28.9017,28.8571,2279879,45270.4704,-0.3929,5.07,5.0835,30986101,61984.0772,-0.0708,14.11,14.0798,3751067,16341.3728,-0.319,12.5,12.4374,5834319,19737.0209,1.199,8.44,8.3605,200400,4758.1906
4/3/16,0.1979,5090.025,2.4348,17.67,17.609,11339993,91824.5998,-1.7152,102.57,103.0732,1228557,47475.3797,1.5837,44.9,44.8285,2828106,75093.8671,1.108,75.74,75.7505,2660545,129329.4339,1.0657,22.76,22.7381,3029501,28926.5292,0.4229,29.0239,29.0424,1774462,45461.9126,1.1834,5.13,5.1215,23110694,62717.6166,-1.2757,13.93,13.9646,2199034,16132.9074,-1.04,12.37,12.3551,3372995,19531.7966,-1.8957,8.28,8.3607,306784,4667.988
7/3/16,1.0371,5142.814,4.9802,18.55,18.5897,15283821,95733.4622,0.5655,103.15,103.1699,917463,47743.8375,3.4967,46.47,46.3865,3353790,78364.6003,1.5184,76.89,76.6491,2691887,131293.1103,1.1424,23.02,22.9452,2730203,29256.9728,0.3716,29.1317,29.0707,1444316,45630.8323,0,5.13,5.1358,29291036,62717.6166,-0.2154,13.9,13.9333,2359585,16098.1632,-0.4042,12.32,12.3457,3643754,19453.3356,-0.2415,8.26,8.2602,131914,4656.7126
8/3/16,-0.6537,5107.96,-1.8329,18.21,18.5594,25330898,91517.3474,-0.698,102.43,102.9432,1166344,47410.5795,-2.6038,45.26,46.0228,3742110,72243.0768,-1.8728,75.45,75.7692,3363994,128834.2459,-0.0869,23,23.0189,3799077,29231.5541,0.8391,29.3762,29.3027,2919616,46013.7169,-0.5848,5.1,5.1141,27441581,62350.8469,0.6475,13.99,13.968,2649853,16202.3959,1.461,12.5,12.4023,3780997,19737.6678,-2.6634,8.04,8.1066,177215,4532.684
9/3/16,1.0076,5157.192,-1.922,17.86,17.6315,13900527,90586.9,2.2161,104.7,104.2903,808485,48461.2679,-2.1211,44.3,43.8467,3271893,71634.8549,1.1398,76.31,75.9277,2661641,130302.7344,1.5217,23.35,23.16,3975449,29676.3821,1.7132,29.8794,29.7322,2425044,46802.0087,1.1765,5.16,5.1349,35533978,63084.3863,2.9307,14.4,14.2952,4128124,16677.2338,2.8,12.85,12.7419,3978836,20290.3225,2.4876,8.24,8.1873,412003,4645.6239
10/3/16,0.0163,5150.073,0.8259,17.7,17.7402,8457295,88894.5482,-1.4804,103.15,103.4644,784653,47743.8375,0.9707,44.73,44.8935,1884941,70666.4665,-0.2228,76.14,76.5528,1786282,130012.4518,-0.8994,23.14,23.1121,3610845,29409.4853,-0.6256,29.6925,29.7983,1672576,46509.2146,0.5814,5.19,5.1907,26040785,63451.1559,-1.1111,14.24,14.2518,4305194,16491.9312,-2.4083,12.38,12.4402,7415758,19548.1862,-1.335,8.13,8.1379,219276,4583.6071
11/3/16,0.3192,5166.393,-0.5085,17.61,17.5311,7938306,89375.4844,0.4169,103.58,103.6936,727972,47942.8666,-0.3577,44.57,44.5797,1555429,71286.1868,0.3021,76.37,76.1753,1774934,130405.187,0.8643,23.34,23.2353,2552270,29663.6727,1.1864,30.0448,29.9925,1741779,47061.0188,-0.578,5.16,5.1495,19757816,63084.3863,-1.1236,14.08,14.0571,3399522,16306.6286,-0.4847,12.32,12.3226,2573232,19453.4454,0.246,8.15,8.1679,113962,4594.8828
14/3/16,0.369,5185.458,0.7382,17.74,17.8049,8539860,89860.4294,0.0097,103.59,103.7573,998525,47947.4952,-0.2244,44.47,44.5232,1331986,71365.0079,0.6416,76.86,77.0131,4135863,131241.8839,-1.0283,23.1,23.1961,2045740,29358.6478,-0.6939,29.8363,29.8991,2652719,46734.4408,2.3256,5.28,5.273,28900955,64551.465,0.7102,14.18,14.1925,1838007,16422.4427,-0.1623,12.3,12.3204,2277555,19421.8652,2.9448,8.39,8.3206,234613,4730.2952
15/3/16,-1.4205,5111.424,-3.4386,17.13,17.3399,14086835,85571.7766,-1.197,102.35,102.418,711445,47112.1129,-3.3731,42.97,43.4663,2339913,68338.3055,-1.8345,75.45,75.7569,1647922,128834.2459,-1.342,22.79,22.8782,2657775,28964.6573,-0.5542,29.6709,29.7108,1868012,46475.4306,0.1894,5.29,5.3165,33938007,64673.7216,-0.4231,14.12,14.1397,1627264,16352.9542,-1.5447,12.11,12.1154,4519481,19121.8526,-1.1919,8.29,8.3624,191790,4673.9151
16/3/16,0.1581,5119.027,-1.4594,16.88,16.7612,12521622,84799.0604,-0.0489,102.3,102.2996,652746,47089.0977,-0.6516,42.69,42.6191,1533886,68438.3204,0.782,76.04,76.0555,1764992,129841.6973,-1.3602,22.48,22.4416,3281557,28570.6668,-0.7027,29.4624,29.4674,1928656,46148.8526,0.189,5.3,5.2838,17338647,64795.9781,0.2125,14.15,14.1327,1609534,16387.6985,0.4955,12.17,12.0916,3494609,19216.5934,-1.8094,8.14,8.179,396411,4589.3448
17/3/16,0.979,5168.153,2.4289,17.29,17.3433,13904030,88373.4093,-0.4399,101.85,101.8614,1710501,46881.9609,2.4362,43.73,43.7052,2195581,71459.8755,1.7622,77.38,77.1142,4715401,132129.8072,-1.0676,22.24,22.3635,5115665,28265.6419,1.2689,29.8363,29.7273,3644856,46734.4408,-0.7547,5.26,5.298,29631460,64306.9519,0.8481,14.27,14.2956,2868123,16526.6754,-0.5752,12.1,12.1763,4712187,19106.0891,0.6143,8.19,8.1652,412926,4617.5434
18/3/16,0.2965,5183.124,4.6848,18.1,18.0274,19416804,91560.2683,-1.7182,100.1,100.2257,2813956,46076.429,0.9604,44.15,44.505,2589003,71519.2977,1.008,78.16,78.1527,4505834,133461.692,-0.1799,22.2,22.2639,3498899,28214.8044,0.6265,30.0232,30.0024,3160215,47027.2349,-0.7605,5.22,5.2371,28188954,63817.9256,-0.4205,14.21,14.2542,2796705,16457.187,-0.9917,11.98,12.0109,4098063,18916.6072,3.663,8.49,8.4559,2288174,4786.8236
21/3/16,-0.3186,5166.568,0.3867,18.17,18.0608,10307815,91191.8397,0.3996,100.5,100.7774,1271298,46260.5506,-0.1133,44.1,44.0755,1628766,71243.8211,-1.305,77.14,77.2144,1781730,131719.9964,-1.4865,21.87,21.8809,3546570,27795.3951,-0.455,29.8866,29.9235,1189802,46813.27,-0.5747,5.19,5.2043,19248891,63451.1559,-0.6334,14.12,14.1507,1496053,16352.9542,0.7513,12.07,12.0789,1984168,19058.7186,-0.2356,8.47,8.4118,253495,4775.5632
22/3/16,0.016,5166.623,-1.486,17.9,17.914,6857532,89669.8759,1.1642,101.67,101.5534,806136,46799.1062,-0.5442,43.86,43.9944,979446,69732.1258,-0.2982,76.91,77.0425,2824264,131327.2612,0.9145,22.07,22.0928,2857625,28049.5825,0.4811,30.0304,30.0605,1615818,47038.4962,1.3487,5.26,5.2516,23879850,64306.9519,-0.4249,14.06,14.0667,1856585,16283.4658,0.2486,12.1,12.1051,2680960,19106.0891,-2.3613,8.27,8.3043,219518,4662.799
